BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,Transport and Communication,185.2,0.11
2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,Education,225.5,4.59
2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,*,195.8,4.76
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Cereals and Products,197.3,0.92
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Meat and Fish,220,-6.58
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Egg,219.2,-6.28
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Fruits,189.7,9.59
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Vegetables,184.6,2.05
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Pulses and Products,198.4,-6.02
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Spices,218.4,-6.83
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",195.1,2.85
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Non-alcoholic Beverages,211,2.18
2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,*,195.8,0.51
2012,2025,February,Andhra Pradesh,Rural,"Pan, Tobacco and Intoxicants",*,214,8.3
2012,2025,February,Andhra Pradesh,Rural,Clothing and Footwear,Clothing,211.1,1.78
2012,2025,February,Andhra Pradesh,Rural,Clothing and Footwear,Footwear,175,-1.85
2012,2025,February,Andhra Pradesh,Rural,Clothing and Footwear,*,207.6,1.47
2012,2025,February,Andhra Pradesh,Rural,Fuel and Light,*,170.4,0.06
2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Household Goods and Services,167.5,1.15
2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Health,193.1,3.82
2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Transport and Communication,192.2,0.42
2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Education,215.5,3.06
2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,*,196.5,4.58
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Cereals and Products,199,1.69
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Meat and Fish,235.7,-3.36
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Egg,217.2,-8.74
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Fruits,216.1,12.38
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Vegetables,228.8,0.79
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Pulses and Products,215.5,-3.28
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Spices,226,-3.99
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",212.1,4.23
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Non-alcoholic Beverages,192,4.01
2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,*,207.9,2.06
2012,2025,February,Andhra Pradesh,Urban,"Pan, Tobacco and Intoxicants",*,204.8,2.09
2012,2025,February,Andhra Pradesh,Urban,Clothing and Footwear,Clothing,186.9,2.69
2012,2025,February,Andhra Pradesh,Urban,Clothing and Footwear,Footwear,175.4,2.04
2012,2025,February,Andhra Pradesh,Urban,Clothing and Footwear,*,185.7,2.6
2012,2025,February,Andhra Pradesh,Urban,Fuel and Light,*,152.8,-5.09
2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Household Goods and Services,161.4,2.35
2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Health,186.5,4.83
2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Transport and Communication,174.8,-0.4
2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Education,234.8,5.96
2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,*,194.8,5.13
2012,2025,February,Arunachal Pradesh,Combined,Food and Beverages,*,*,*
2012,2025,February,Arunachal Pradesh,Combined,"Pan, Tobacco and Intoxicants",*,*,*
2012,2025,February,Arunachal Pradesh,Combined,Clothing and Footwear,*,*,*
2012,2025,February,Arunachal Pradesh,Combined,Fuel and Light,*,*,*
2012,2025,February,Arunachal Pradesh,Combined,Miscellaneous,*,*,*
2012,2025,February,Arunachal Pradesh,Rural,Food and Beverages,*,190.4,4.04
2012,2025,February,Arunachal Pradesh,Rural,"Pan, Tobacco and Intoxicants",*,217.6,5.73
2012,2025,February,Arunachal Pradesh,Rural,Clothing and Footwear,*,208,3.23
2012,2025,February,Arunachal Pradesh,Rural,Fuel and Light,*,231,-0.9
2012,2025,February,Arunachal Pradesh,Rural,Miscellaneous,*,189.2,3.5
2012,2025,February,Arunachal Pradesh,Urban,Food and Beverages,*,*,*
2012,2025,February,Arunachal Pradesh,Urban,"Pan, Tobacco and Intoxicants",*,*,*
2012,2025,February,Arunachal Pradesh,Urban,Clothing and Footwear,*,*,*
2012,2025,February,Arunachal Pradesh,Urban,Fuel and Light,*,*,*
2012,2025,February,Arunachal Pradesh,Urban,Miscellaneous,*,*,*
2012,2025,February,Assam,Combined,Food and Beverages,Cereals and Products,196.3,6.57
2012,2025,February,Assam,Combined,Food and Beverages,Meat and Fish,201.1,1.41
2012,2025,February,Assam,Combined,Food and Beverages,Egg,181.7,-3.04
2012,2025,February,Assam,Combined,Food and Beverages,Fruits,185.1,8.06
2012,2025,February,Assam,Combined,Food and Beverages,Vegetables,179.9,8.57
2012,2025,February,Assam,Combined,Food and Beverages,Pulses and Products,169.9,4.75
2012,2025,February,Assam,Combined,Food and Beverages,Spices,212.8,2.8
2012,2025,February,Assam,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",207.1,3.03
2012,2025,February,Assam,Combined,Food and Beverages,Non-alcoholic Beverages,173.8,2.42
2012,2025,February,Assam,Combined,Food and Beverages,*,191.6,4.93
2012,2025,February,Assam,Combined,"Pan, Tobacco and Intoxicants",*,214,-1.43
2012,2025,February,Assam,Combined,Clothing and Footwear,Clothing,188.3,1.56
2012,2025,February,Assam,Combined,Clothing and Footwear,Footwear,189.6,3.21
2012,2025,February,Assam,Combined,Clothing and Footwear,*,188.5,1.78
2012,2025,February,Assam,Combined,Fuel and Light,*,254.8,3.7
2012,2025,February,Assam,Combined,Miscellaneous,Household Goods and Services,191.9,4.01
2012,2025,February,Assam,Combined,Miscellaneous,Health,204.8,5.51
2012,2025,February,Assam,Combined,Miscellaneous,Transport and Communication,175.5,5.15
2012,2025,February,Assam,Combined,Miscellaneous,Education,188.3,3.35
2012,2025,February,Assam,Combined,Miscellaneous,*,187.9,4.85
2012,2025,February,Assam,Rural,Food and Beverages,Cereals and Products,195.8,6.59
2012,2025,February,Assam,Rural,Food and Beverages,Meat and Fish,201,0.9
2012,2025,February,Assam,Rural,Food and Beverages,Egg,182.7,-2.72
2012,2025,February,Assam,Rural,Food and Beverages,Fruits,185.6,9.24
2012,2025,February,Assam,Rural,Food and Beverages,Vegetables,174.4,9.41
2012,2025,February,Assam,Rural,Food and Beverages,Pulses and Products,168.2,4.54
2012,2025,February,Assam,Rural,Food and Beverages,Spices,214.2,3.13
2012,2025,February,Assam,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",205.6,2.29
