,BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
127,2012,2025,February,Andhra Pradesh,Urban,Clothing and Footwear,Footwear,175.4,2.04
128,2012,2025,February,Andhra Pradesh,Urban,Clothing and Footwear,Residual,185.7,2.6
129,2012,2025,February,Andhra Pradesh,Urban,Fuel and Light,Residual,152.8,-5.09
130,2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Household Goods and Services,161.4,2.35
131,2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Health,186.5,4.83
132,2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Transport and Communication,174.8,-0.4
133,2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Education,234.8,5.96
134,2012,2025,February,Andhra Pradesh,Urban,Miscellaneous,Residual,194.8,5.13
135,2012,2025,February,Arunachal Pradesh,Combined,Food and Beverages,Residual,123.4,4.89
136,2012,2025,February,Arunachal Pradesh,Combined,"Pan, Tobacco and Intoxicants",Residual,123.4,4.89
137,2012,2025,February,Arunachal Pradesh,Combined,Clothing and Footwear,Residual,123.4,4.89
138,2012,2025,February,Arunachal Pradesh,Combined,Fuel and Light,Residual,123.4,4.89
139,2012,2025,February,Arunachal Pradesh,Combined,Miscellaneous,Residual,123.4,4.89
140,2012,2025,February,Arunachal Pradesh,Rural,Food and Beverages,Residual,190.4,4.04
141,2012,2025,February,Arunachal Pradesh,Rural,"Pan, Tobacco and Intoxicants",Residual,217.6,5.73
142,2012,2025,February,Arunachal Pradesh,Rural,Clothing and Footwear,Residual,208,3.23
143,2012,2025,February,Arunachal Pradesh,Rural,Fuel and Light,Residual,231,-0.9
144,2012,2025,February,Arunachal Pradesh,Rural,Miscellaneous,Residual,189.2,3.5
145,2012,2025,February,Arunachal Pradesh,Urban,Food and Beverages,Residual,123.4,4.89
146,2012,2025,February,Arunachal Pradesh,Urban,"Pan, Tobacco and Intoxicants",Residual,123.4,4.89
147,2012,2025,February,Arunachal Pradesh,Urban,Clothing and Footwear,Residual,123.4,4.89
148,2012,2025,February,Arunachal Pradesh,Urban,Fuel and Light,Residual,123.4,4.89
149,2012,2025,February,Arunachal Pradesh,Urban,Miscellaneous,Residual,123.4,4.89
150,2012,2025,February,Assam,Combined,Food and Beverages,Cereals and Products,196.3,6.57
151,2012,2025,February,Assam,Combined,Food and Beverages,Meat and Fish,201.1,1.41
152,2012,2025,February,Assam,Combined,Food and Beverages,Egg,181.7,-3.04
153,2012,2025,February,Assam,Combined,Food and Beverages,Fruits,185.1,8.06
154,2012,2025,February,Assam,Combined,Food and Beverages,Vegetables,179.9,8.57
155,2012,2025,February,Assam,Combined,Food and Beverages,Pulses and Products,169.9,4.75
156,2012,2025,February,Assam,Combined,Food and Beverages,Spices,212.8,2.8
157,2012,2025,February,Assam,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",207.1,3.03
158,2012,2025,February,Assam,Combined,Food and Beverages,Non-alcoholic Beverages,173.8,2.42
159,2012,2025,February,Assam,Combined,Food and Beverages,Residual,191.6,4.93
160,2012,2025,February,Assam,Combined,"Pan, Tobacco and Intoxicants",Residual,214,-1.43
161,2012,2025,February,Assam,Combined,Clothing and Footwear,Clothing,188.3,1.56
162,2012,2025,February,Assam,Combined,Clothing and Footwear,Footwear,189.6,3.21
163,2012,2025,February,Assam,Combined,Clothing and Footwear,Residual,188.5,1.78
164,2012,2025,February,Assam,Combined,Fuel and Light,Residual,254.8,3.7
165,2012,2025,February,Assam,Combined,Miscellaneous,Household Goods and Services,191.9,4.01
166,2012,2025,February,Assam,Combined,Miscellaneous,Health,204.8,5.51
167,2012,2025,February,Assam,Combined,Miscellaneous,Transport and Communication,175.5,5.15
168,2012,2025,February,Assam,Combined,Miscellaneous,Education,188.3,3.35
169,2012,2025,February,Assam,Combined,Miscellaneous,Residual,187.9,4.85
170,2012,2025,February,Assam,Rural,Food and Beverages,Cereals and Products,195.8,6.59
171,2012,2025,February,Assam,Rural,Food and Beverages,Meat and Fish,201,0.9
172,2012,2025,February,Assam,Rural,Food and Beverages,Egg,182.7,-2.72
173,2012,2025,February,Assam,Rural,Food and Beverages,Fruits,185.6,9.24
174,2012,2025,February,Assam,Rural,Food and Beverages,Vegetables,174.4,9.41
175,2012,2025,February,Assam,Rural,Food and Beverages,Pulses and Products,168.2,4.54
176,2012,2025,February,Assam,Rural,Food and Beverages,Spices,214.2,3.13
177,2012,2025,February,Assam,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",205.6,2.29
178,2012,2025,February,Assam,Rural,Food and Beverages,Non-alcoholic Beverages,171.1,1.72
179,2012,2025,February,Assam,Rural,Food and Beverages,Residual,190.6,4.84
180,2012,2025,February,Assam,Rural,"Pan, Tobacco and Intoxicants",Residual,214.1,-2.37
181,2012,2025,February,Assam,Rural,Clothing and Footwear,Clothing,188.3,1.35
182,2012,2025,February,Assam,Rural,Clothing and Footwear,Footwear,188.3,2.62
183,2012,2025,February,Assam,Rural,Clothing and Footwear,Residual,188.3,1.51
184,2012,2025,February,Assam,Rural,Fuel and Light,Residual,257.4,4.46
185,2012,2025,February,Assam,Rural,Miscellaneous,Household Goods and Services,189.8,2.93
186,2012,2025,February,Assam,Rural,Miscellaneous,Health,202.3,5.58
187,2012,2025,February,Assam,Rural,Miscellaneous,Transport and Communication,179,4.99
188,2012,2025,February,Assam,Rural,Miscellaneous,Education,197,2.82
